TaskID,TaskType,AssetCode,Field,Region,Latitude,Longitude,Elevation,CreatedDate
666,WellInspection,ACR_WH001,Acrux,Northern,-26.044156,149.812488,298.54,8/06/2018
666,WellInspection,ACR_WH002,Acrux,Northern,-26.04409,149.822643,284.75,8/06/2018
666,WellInspection,ACR_WH003,Acrux,Northern,-26.048663,149.816408,300.85,8/06/2018
666,WellInspection,ACR_WH004,Acrux,Northern,-26.053179,149.824533,295.28,8/06/2018
666,WellInspection,ACR_WH005,Acrux,Northern,-26.052692,149.813891,291.18,8/06/2018
666,WellInspection,ACR_WH101,Acrux,Northern,-26.002632,149.75543,289.31,8/06/2018
666,WellInspection,ACR_WH118,Acrux,Northern,-26.016072,149.793212,247.83,8/06/2018
666,WellInspection,ACR_WH121,Acrux,Northern,-26.023299,149.788572,252.75,8/06/2018
666,WellInspection,ACR_WH125,Acrux,Northern,-26.027912,149.782369,248.36,8/06/2018
666,WellInspection,ACR_WH126,Acrux,Northern,-26.037557,149.758321,268.85,8/06/2018
666,WellInspection,ACR_WH127,Acrux,Northern,-26.037898,149.763934,261.3,8/06/2018
666,WellInspection,ACR_WH128,Acrux,Northern,-26.032876,149.768441,250.64,8/06/2018
666,WellInspection,ACR_WH129,Acrux,Northern,-26.041424,149.754089,271.74,8/06/2018
666,WellInspection,ACR_WH130,Acrux,Northern,-26.042885,149.764437,250.47,8/06/2018
666,WellInspection,ACR_WH131,Acrux,Northern,-26.048099,149.75599,281.17,8/06/2018
666,WellInspection,ACR_WH132,Acrux,Northern,-26.047926,149.7626,251.75,8/06/2018
666,WellInspection,ACR_WH133,Acrux,Northern,-26.051488,149.770051,255.85,8/06/2018
666,WellInspection,ACR_WH134,Acrux,Northern,-26.056044,149.758376,269.16,8/06/2018
666,WellInspection,ACR_WH135,Acrux,Northern,-26.057414,149.766027,267.6,8/06/2018
666,WellInspection,ACR_WH136,Acrux,Northern,-26.05693,149.771361,258.35,8/06/2018
666,WellInspection,ACR_WH137,Acrux,Northern,-26.052206,149.782299,259.88,8/06/2018
666,WellInspection,ACR_WH138,Acrux,Northern,-26.052481,149.791028,283.44,8/06/2018
666,WellInspection,ACR_WH139,Acrux,Northern,-26.058323,149.798411,293.67,8/06/2018
666,WellInspection,ACR_WH140,Acrux,Northern,-26.061363,149.753483,276.05,8/06/2018
666,WellInspection,ACR_WH141,Acrux,Northern,-26.063553,149.760615,281.5,8/06/2018
666,WellInspection,ACR_WH142,Acrux,Northern,-26.059906,149.777541,258.05,8/06/2018
666,WellInspection,ACR_WH143,Acrux,Northern,-26.059334,149.784332,260.51,8/06/2018
666,WellInspection,ACR_WH144,Acrux,Northern,-26.061812,149.790575,275.72,8/06/2018
666,WellInspection,ACR_WH145,Acrux,Northern,-26.060677,149.80378,287.15,8/06/2018
666,WellInspection,ACR_WH146,Acrux,Northern,-26.059077,149.827248,269.81,8/06/2018
666,WellInspection,ACR_WH147,Acrux,Northern,-26.068845,149.756338,267.14,8/06/2018
666,WellInspection,ACR_WH148,Acrux,Northern,-26.071142,149.764211,262.65,8/06/2018
666,WellInspection,ACR_WH149,Acrux,Northern,-26.067167,149.767343,264.67,8/06/2018
666,WellInspection,ACR_WH150,Acrux,Northern,-26.065481,149.774924,267.68,8/06/2018
666,WellInspection,ACR_WH151,Acrux,Northern,-26.068055,149.785411,271.84,8/06/2018
666,WellInspection,ACR_WH152,Acrux,Northern,-26.063929,149.797351,280.36,8/06/2018
666,WellInspection,ACR_WH153,Acrux,Northern,-26.065487,149.802915,294.13,8/06/2018
666,WellInspection,ACR_WH154,Acrux,Northern,-26.067031,149.808714,283.79,8/06/2018
666,WellInspection,ACR_WH155,Acrux,Northern,-26.077366,149.753878,264.65,8/06/2018
666,WellInspection,ACR_WH156,Acrux,Northern,-26.078441,149.761475,265.46,8/06/2018
666,WellInspection,ACR_WH157,Acrux,Northern,-26.072794,149.770234,268.57,8/06/2018
666,WellInspection,ACR_WH158,Acrux,Northern,-26.072609,149.779485,265.87,8/06/2018
666,WellInspection,ACR_WH159,Acrux,Northern,-26.073395,149.787684,274.13,8/06/2018
666,WellInspection,ACR_WH160,Acrux,Northern,-26.070427,149.792631,278.29,8/06/2018
666,WellInspection,ACR_WH161,Acrux,Northern,-26.075176,149.796991,280.38,8/06/2018
666,WellInspection,ACR_WH162,Acrux,Northern,-26.079238,149.805957,288.47,8/06/2018
666,WellInspection,ACR_WH163,Acrux,Northern,-26.070727,149.815077,278.22,8/06/2018
666,WellInspection,ACR_WH164,Acrux,Northern,-26.076638,149.819997,282.45,8/06/2018
666,WellInspection,ACR_WH165,Acrux,Northern,-26.070381,149.826853,276.68,8/06/2018
666,WellInspection,ACR_WH166,Acrux,Northern,-26.078536,149.766953,265.48,8/06/2018
666,WellInspection,ACR_WH167,Acrux,Northern,-26.076289,149.774983,261.82,8/06/2018
666,WellInspection,ACR_WH168,Acrux,Northern,-26.07957,149.783449,273.92,8/06/2018
666,WellInspection,ACR_WH169,Acrux,Northern,-26.078632,149.792095,270.51,8/06/2018
666,WellInspection,ACR_WH170,Acrux,Northern,-26.080946,149.799688,281.23,8/06/2018
666,WellInspection,ACR_WH171,Acrux,Northern,-26.079223,149.815185,283.09,8/06/2018
666,WellInspection,ACR_WH172,Acrux,Northern,-26.080658,149.821394,290.03,8/06/2018
666,WellInspection,ACR_WH173,Acrux,Northern,-26.076653,149.826252,287.87,8/06/2018
666,WellInspection,ACR_WH204,Portsmouth,Northern,-26.055821,149.75051,262.34,8/06/2018
666,WellInspection,ART_WH107,Arthur,Northern,-26.082797,149.570688,270.85,8/06/2018
666,WellInspection,ART_WH108,Arthur,Northern,-26.082749,149.577392,261.35,8/06/2018
666,WellInspection,ART_WH113,Arthur,Northern,-26.089484,149.537554,307.09,8/06/2018
666,WellInspection,ART_WH114,Arthur,Northern,-26.086798,149.544839,296.51,8/06/2018
666,WellInspection,ART_WH122,Arthur,Northern,-26.093261,149.542229,296.13,8/06/2018
666,WellInspection,ART_WH123,Arthur,Northern,-26.094466,149.548984,296.59,8/06/2018
666,WellInspection,ART_WH131,Arthur,Northern,-26.097914,149.538435,284.66,8/06/2018
666,WellInspection,BLD_WH002,Bloodworth,Northern,-25.976222,149.682048,258.59,8/06/2018
666,WellInspection,BLD_WH003,Bloodworth,Northern,-25.971249,149.695418,250.04,8/06/2018
666,WellInspection,BLD_WH004,Bloodworth,Northern,-25.961773,149.684766,237.3,8/06/2018
666,WellInspection,BLD_WH006,Bloodworth,Northern,-25.96657,149.679128,249.29,8/06/2018
666,WellInspection,BLD_WH007,Bloodworth,Northern,-25.970339,149.685219,257.6,8/06/2018
666,WellInspection,BLD_WH142,Bloodworth,Northern,-25.971862,149.708955,227.09,8/06/2018
666,WellInspection,BLD_WH148,Bloodworth,Northern,-25.977746,149.696445,250.62,8/06/2018
666,WellInspection,BLD_WH149,Bloodworth,Northern,-25.981934,149.707819,243.96,8/06/2018
666,WellInspection,BLD_WH152,Bloodworth,Northern,-25.986337,149.715967,234.49,8/06/2018
666,WellInspection,BLD_WH155,Bloodworth,Northern,-25.99121,149.669706,244.53,8/06/2018
666,WellInspection,BLD_WH156,Bloodworth,Northern,-25.991516,149.725078,237.99,8/06/2018
666,WellInspection,BLD_WH157,Bloodworth,Northern,-25.987727,149.733624,252.55,8/06/2018
666,WellInspection,BLD_WH158,Bloodworth,Northern,-25.993715,149.74143,258.01,8/06/2018
666,WellInspection,BLD_WH168,Bloodworth,Northern,-25.989956,149.682618,253.29,8/06/2018
666,WellInspection,BLD_WH169,Bloodworth,Northern,-25.987643,149.693337,247.92,8/06/2018
666,WellInspection,BLD_WH170,Bloodworth,Northern,-25.989289,149.706084,251.1,8/06/2018
666,WellInspection,BLD_WH171,Bloodworth,Northern,-25.997795,149.67724,255.62,8/06/2018
666,WellInspection,BLD_WH172,Bloodworth,Northern,-25.996948,149.687357,269.58,8/06/2018
666,WellInspection,BLD_WH173,Bloodworth,Northern,-25.995918,149.699953,257.36,8/06/2018
666,WellInspection,BLD_WH174,Bloodworth,Northern,-25.997634,149.709882,255.25,8/06/2018
666,WellInspection,BRD_WH002,Borrowdale,Northern,-25.990559,149.561884,307.54,8/06/2018
666,WellInspection,BRD_WH003,Borrowdale,Northern,-25.998429,149.54775,317.86,8/06/2018
666,WellInspection,BRD_WH004,Borrowdale,Northern,-25.989481,149.55227,321.82,8/06/2018
666,WellInspection,BRD_WH005,Penrhyn,Northern,-25.999006,149.56158,314.61,8/06/2018
666,WellInspection,BRD_WH153,Borrowdale,Northern,-25.972412,149.573242,309.35,8/06/2018
666,WellInspection,BRD_WH163,Borrowdale,Northern,-25.976975,149.576358,325.81,8/06/2018
666,WellInspection,BRD_WH166,Borrowdale,Northern,-25.98574,149.572335,310.3,8/06/2018
666,WellInspection,BRD_WH169,Borrowdale,Northern,-25.991071,149.577205,295.23,8/06/2018
666,WellInspection,BRD_WH172,Borrowdale,Northern,-25.998199,149.572543,294.34,8/06/2018
666,WellInspection,BRD_WH232,Borrowdale,Northern,-25.994345,149.555085,323.58,8/06/2018
666,WellInspection,CAM_WH001,Cam,Northern,-26.226832,149.700567,326.37,8/06/2018
666,WellInspection,CAM_WH003,Cam,Northern,-26.219133,149.700923,316.07,8/06/2018
666,WellInspection,CAM_WH004,Cam,Northern,-26.216451,149.71388,305.44,8/06/2018
666,WellInspection,CAM_WH005,Cam,Northern,-26.2249,149.7111,311.82,8/06/2018
666,WellInspection,CAM_WH006,Cam,Northern,-26.221099,149.707069,305.36,8/06/2018
666,WellInspection,CAM_WH010,Cam,Northern,-26.234307,149.734269,313.77,8/06/2018
666,WellInspection,CAM_WH011,Cam,Northern,-26.241793,149.728248,319.98,8/06/2018
666,WellInspection,CAM_WH012,Cam,Northern,-26.246853,149.742536,311.14,8/06/2018
666,WellInspection,CAM_WH013,Cam,Northern,-26.233638,149.726631,329.75,8/06/2018
666,WellInspection,CAM_WH014,Cam,Northern,-26.167119,149.700948,340.65,8/06/2018
666,WellInspection,CAM_WH015,Cam,Northern,-26.171061,149.707028,340.05,8/06/2018
666,WellInspection,CAM_WH016,Cam,Northern,-26.170115,149.695326,354.27,8/06/2018
666,WellInspection,CAM_WH018,Cam,Northern,-26.211051,149.697674,335.22,8/06/2018
666,WellInspection,CAM_WH019,Cam,Northern,-26.212094,149.706579,327.55,8/06/2018
666,WellInspection,CAM_WH101,Cam,Northern,-26.167838,149.682403,344.43,8/06/2018
666,WellInspection,CAM_WH102,Cam,Northern,-26.168141,149.690147,340.07,8/06/2018
666,WellInspection,CAM_WH104,Cam,Northern,-26.165971,149.726449,319.82,8/06/2018
666,WellInspection,CAM_WH105,Cam,Northern,-26.167926,149.735177,328.06,8/06/2018
666,WellInspection,CAM_WH106,Cam,Northern,-26.172239,149.673727,356.29,8/06/2018
666,WellInspection,CAM_WH107,Cam,Northern,-26.172978,149.680767,352.68,8/06/2018
666,WellInspection,CAM_WH108,Cam,Northern,-26.17305,149.687812,345.76,8/06/2018
666,WellInspection,CAM_WH111,Cam,Northern,-26.171321,149.71823,329.26,8/06/2018
666,WellInspection,CAM_WH112,Cam,Northern,-26.172934,149.727259,356.77,8/06/2018
666,WellInspection,CAM_WH113,Cam,Northern,-26.173069,149.733685,347.06,8/06/2018
666,WellInspection,CAM_WH114,Cam,Northern,-26.168553,149.740699,319.11,8/06/2018
666,WellInspection,CAM_WH115,Cam,Northern,-26.168758,149.748681,341.86,8/06/2018
666,WellInspection,CAM_WH116,Cam,Northern,-26.179204,149.672618,359.61,8/06/2018
666,WellInspection,CAM_WH117,Cam,Northern,-26.180591,149.679473,349.87,8/06/2018
