TaskID,TaskType,AssetCode,Field,Region,Latitude,Longitude,Elevation,CreatedDate
1234,Warehouse,F15_WH001,Strike Eagle,Northern,-24.9158511,151.9281969,298.54,8/06/2018
1234,Warehouse,F15_WH002,Strike Eagle,Northern,-24.9102859,151.9448466,284.75,8/06/2018
1234,Warehouse,F15_WH003,Strike Eagle,Northern,-24.9208587,151.9371144,300.85,8/06/2018
1234,Warehouse,F15_WH004,Strike Eagle,Northern,-24.924378,151.9460397,295.28,8/06/2018
1234,Warehouse,F15_WH005,Strike Eagle,Northern,-24.925991,151.9340919,291.18,8/06/2018
1234,Warehouse,F15_WH101,Strike Eagle,Northern,-24.8745237,151.8708398,289.31,8/06/2018
1234,Warehouse,F15_WH118,Strike Eagle,Northern,-24.8855635,151.9122206,247.83,8/06/2018
1234,Warehouse,F15_WH121,Strike Eagle,Northern,-24.8950951,151.9094754,252.75,8/06/2018
1234,Warehouse,F15_WH125,Strike Eagle,Northern,-24.9025067,151.8989704,248.36,8/06/2018
1234,Warehouse,F15_WH126,Strike Eagle,Northern,-24.9106542,151.873926,268.85,8/06/2018
1234,Warehouse,F15_WH127,Strike Eagle,Northern,-24.9074931,151.8862344,261.3,8/06/2018
1234,Warehouse,F15_WH128,Strike Eagle,Northern,-24.9042726,151.8929459,250.64,8/06/2018
1234,Warehouse,F15_WH129,Strike Eagle,Northern,-24.9123202,151.8760976,271.74,8/06/2018
1234,Warehouse,F15_WH130,Strike Eagle,Northern,-24.9154848,151.884342,250.47,8/06/2018
1234,Warehouse,F15_WH131,Strike Eagle,Northern,-24.9226914,151.8723932,281.17,8/06/2018
1234,Warehouse,F15_WH132,Strike Eagle,Northern,-24.9144238,151.8838048,251.75,8/06/2018
